sub_mono,cover,sub_doble,sub_doble_intermitente,directo_cantar,trend,encoded_color,encoded_light,likes,views,comments,saved,compartidos
1,1,0,0,1,1,0,0,67100.0,281500.0,225.0,8412.0,2042.0
1,0,0,0,0,0,0,2,7372.0,58400.0,66.0,729.0,52.0
0,1,1,0,0,0,0,2,5927.0,46000.0,67.0,725.0,242.0
0,0,1,0,0,0,0,2,110000.0,746100.0,614.0,18500.0,2509.0
1,1,1,0,0,1,0,2,6812.0,921000.0,651.0,836.0,54.0
1,1,0,0,1,1,0,0,8662.0,777000.0,96.0,1786.0,541.0
0,0,1,0,0,0,0,2,216.0,3589.0,4.0,43.0,13.0
1,1,0,0,0,0,0,2,147.0,2677.0,147.0,18.0,1.0
1,1,1,0,0,0,0,2,688.0,8972.0,23.0,48.0,3.0
1,1,1,0,0,0,0,2,152000.0,121400.0,137.0,2249.0,486.0
0,0,1,1,0,1,0,2,178.0,6106.0,10.0,26.0,7.0
1,1,0,0,1,1,0,0,39100.0,303400.0,302.0,6137.0,261.0
1,1,0,0,1,0,0,1,8995.0,67900.0,52.0,2823.0,50.0
0,0,1,0,0,0,0,2,14400.0,143300.0,114.0,2507.0,200.0
1,0,0,0,1,1,0,0,35900.0,296900.0,265.0,6265.0,957.0
0,1,1,0,1,1,0,2,31600.0,203200.0,347.0,5865.0,1360.0
1,0,1,0,0,0,0,2,2906.0,26500.0,22.0,303.0,69.0
0,1,1,0,0,0,0,2,16000.0,107300.0,114.0,1551.0,458.0
0,1,0,0,0,0,0,0,2654.0,31300.0,39.0,223.0,45.0
0,0,1,0,1,0,0,2,152000.0,923500.0,1332.0,27300.0,5522.0
1,0,1,0,0,0,0,2,201400.0,1400000.0,716.0,41200.0,2048.0
1,1,1,0,1,0,0,0,198800.0,975400.0,843.0,35500.0,6952.0
0,0,1,0,0,0,0,2,126700.0,718300.0,418.0,21300.0,5039.0
1,0,0,0,1,1,0,0,170900.0,1000000.0,1521.0,28500.0,14500.0
1,1,1,0,0,1,0,2,29700.0,198800.0,189.0,3674.0,14400.0
0,0,1,0,0,0,2,2,4646.0,58100.0,33.0,505.0,68.0
1,0,1,0,0,0,0,2,70200.0,526800.0,685.0,7788.0,334.0
1,1,0,0,1,0,0,1,556900.0,3400000.0,1464.0,98000.0,9561.0
0,0,1,0,0,0,2,2,147700.0,1200000.0,1585.0,25100.0,1585.0
0,1,1,0,0,0,0,2,4645.503996225983,777000.675535687,686.2884517248854,6136.007325116026,14401.829975284125
1,1,0,0,1,0,2,1,2905.2346575995066,526800.5254441929,114.1672559962864,25101.74913447574,1359.0293261622442
1,1,0,0,0,0,0,2,39101.92063590896,58100.60977659282,38.96715252031427,28500.131854897863,457.7590323800874
1,1,0,0,1,0,1,1,4646.759379313247,776997.2809153249,136.9126127111324,2247.6032607784077,1583.7495095400893
0,0,1,1,0,1,0,2,556899.8557397234,2677.42500944437,225.99727539233967,6136.044508313845,1359.3002673249084
1,1,0,0,1,0,1,1,201399.83641208016,203199.70847147872,227.00956009501408,1786.760011166679,44.50472502767523
